Frequency (Hz),Zre (ohms),Zim (ohms)
100000,322.7285751,-30.69532308
85769.59375,325.4079576,-31.17457067
73564.22656,327.661646,-32.66691484
63095.73047,329.8745851,-34.04031757
54116.94922,333.0006979,-36.40197135
46415.89063,334.3620244,-39.32902112
39810.71875,337.510453,-41.5866774
34145.48828,339.9632016,-45.93678394
29286.44922,343.4089076,-49.50512987
25118.86914,347.2181285,-53.86859708
21544.34961,350.1956578,-58.54238234
18478.5,355.0622618,-63.49642703
15848.92969,358.6945803,-68.97552178
13593.55957,364.2594754,-74.48503413
11659.13965,369.5034484,-80.95590473
10000,376.0970221,-87.09153036
8576.958984,382.2816707,-94.96086475
7356.421875,389.2954668,-103.9797278
6309.573242,396.1015929,-114.0528058
5411.694824,403.7702395,-123.7414632
4641.588867,411.2147497,-134.1973535
3981.072021,420.880242,-148.0122661
3414.549072,429.2213913,-161.4312619
2928.64502,438.7657153,-178.0475205
2511.885986,450.0856867,-196.4426167
2154.435059,461.1403101,-217.6294095
1847.849976,473.8430548,-239.9215731
1584.892944,485.4314653,-263.640594
1359.355957,500.346292,-292.787829
1165.91394,516.4492276,-324.6233189
1000,534.7754291,-361.000977
857.6959229,557.1448264,-405.3614236
735.6422729,580.9511559,-452.0098906
630.9572754,608.3583878,-504.5081925
541.1696167,639.8431879,-563.3869216
464.158905,672.7426415,-623.1322921
398.1072083,713.3220144,-694.6617033
341.454895,764.0797752,-781.0548848
292.864502,814.1300861,-862.8125475
251.1885986,871.659192,-953.452354
215.4434967,947.1924578,-1064.686306
184.7850037,1036.137863,-1188.718614
158.4893036,1130.121867,-1313.800689
135.9355927,1236.937434,-1444.784645
116.5914001,1368.941813,-1595.839299
100,1511.028497,-1742.925292
85.76959229,1676.221618,-1899.285033
73.56421661,1877.888961,-2068.545185
63.09572983,2082.35379,-2224.377271
54.11695099,2348.066427,-2390.175789
46.41588974,2633.013304,-2543.88495
39.81071854,2980.207855,-2681.52589
34.14548874,3325.891512,-2799.011949
29.28644943,3690.314903,-2875.3346
25.11886024,4060.811967,-2915.331621
21.54434967,4482.314144,-2924.19175
18.47850037,4898.400091,-2875.977001
15.84893036,5237.293592,-2807.21562
13.59356022,5616.849602,-2678.323269
11.65913963,5945.501318,-2518.802229
10,6225.113546,-2358.322459
8.576958656,6479.161191,-2175.078008
7.356421947,6712.292272,-1973.81007
6.309574127,6888.742269,-1793.323279
5.411695004,7041.189808,-1611.001957
4.641589165,7169.039675,-1433.403772
3.981071949,7270.055229,-1275.638801
3.414549112,7355.153039,-1128.297756
2.928644896,7417.645893,-1000.453392
2.511885881,7475.412945,-882.7126794
2.154434919,7516.282867,-780.4013229
1.847849965,7551.967746,-693.7712843
1.584892988,7582.212252,-611.6838993
1.359356046,7607.266863,-542.7517617
1.165914059,7626.565025,-482.8519216
1,7640.592521,-435.9410815